num of ratings,avg cost (two people),online_order,table booking,restaurant type,cuisines type,area
612,1204.172995601693,Yes,Yes,Casual Dining,"North Indian, Chinese, Healthy Food",Brigade Road
257,500.0,Yes,No,Cafe,"Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts",Lavelle Road
111,254.6273688842462,Yes,No,Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",Indiranagar
80,150.0,Yes,No,Quick Bites,Biryani,Kammanahalli
707,849.96751502361,No,Yes,Cafe,"Cafe, Chinese, Continental, Fast Food",Basavanagudi
17,550.0,No,No,Casual Dining,"Mughlai, North Indian, Chinese, Biryani, Seafood",Lavelle Road
85,2832.3389106547975,No,Yes,Fine Dining,"Italian, Salad",Brigade Road
40,500.0,No,No,Quick Bites,"North Indian, Chinese, Biryani",Jayanagar
795,763.0666508942692,Yes,Yes,Casual Dining,North Indian,Bannerghatta Road
528,358.77202721683346,Yes,No,Quick Bites,North Indian,Brigade Road
112,736.5636311128313,Yes,No,Casual Dining,"North Indian, Chinese, Arabian","Byresandra,Tavarekere,Madiwala"
40,204.1777168755345,Yes,No,Quick Bites,North Indian,Bellandur
99,138.51603706690835,Yes,No,Quick Bites,South Indian,Malleshwaram
1374,2224.054004224571,No,Yes,Fine Dining,"North Indian, Continental",Brigade Road
3813,399.0622992944325,Yes,No,Quick Bites,South Indian,"Byresandra,Tavarekere,Madiwala"
15,300.0,No,No,Delivery,Street Food,Koramangala 4th Block
392,1050.313247255154,Yes,No,Casual Dining,"North Indian, Chinese",Banashankari
40,400.0,No,No,Quick Bites,"North Indian, Chinese, Seafood",Jayanagar
17,150.0,Yes,No,Beverage Shop,"Beverages, Juices, Ice Cream",Basavanagudi
1413,654.2818760893429,Yes,No,Casual Dining,"North Indian, Chinese, Biryani, Rolls","Byresandra,Tavarekere,Madiwala"
49,300.0,Yes,No,Quick Bites,Bohri,Jayanagar
25,387.35342642452144,No,No,Quick Bites,"North Indian, South Indian, Chinese",Whitefield
4,800.0,No,No,"Casual Dining, Bar","North Indian, Chinese, Continental",Lavelle Road
27,400.0,Yes,No,"Quick Bites, Mess","South Indian, Chettinad",Kammanahalli
550,500.0,Yes,No,Cafe,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",Banashankari
69,300.0,Yes,No,Quick Bites,North Indian,Kalyan Nagar
37,400.0,Yes,No,Delivery,"Australian, Continental",Bellandur
11,800.0,Yes,No,Bar,"North Indian, Seafood, Chinese",Banashankari
195,1744.9247012416258,No,Yes,Casual Dining,"North Indian, Continental, Asian",Whitefield
40,300.0,Yes,No,Quick Bites,"Biryani, Fast Food",Kalyan Nagar
451,700.0,Yes,Yes,Casual Dining,North Indian,Bannerghatta Road
5,1000.0,No,No,Casual Dining,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala"
18,394.7299311301769,Yes,No,"Takeaway, Delivery","Kebab, Rolls, Charcoal Chicken","Byresandra,Tavarekere,Madiwala"
558,556.3619399764377,Yes,No,Casual Dining,North Indian,Bellandur
15,400.0,No,No,Delivery,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
15,500.0,No,No,"Takeaway, Delivery","North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
150,800.0,No,No,Casual Dining,Continental,Brigade Road
295,500.0,Yes,No,Delivery,"North Indian, Chinese",Brookefield
40,796.1599122673656,No,No,Casual Dining,"Continental, Chinese",HSR
12,300.0,Yes,No,Quick Bites,"North Indian, South Indian",Bellandur
11,300.0,Yes,No,"Bakery, Dessert Parlor","Bakery, Desserts","Byresandra,Tavarekere,Madiwala"
361,600.0,Yes,Yes,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani",Basavanagudi
12,300.0,Yes,No,Quick Bites,Biryani,Banashankari
40,400.0,No,No,Quick Bites,"Chinese, North Indian, South Indian, Hyderabadi",Koramangala 6th Block
40,600.0,Yes,No,Cafe,"Continental, Tea, Fast Food, Italian",Koramangala 4th Block
189,300.0,No,No,Quick Bites,South Indian,Banashankari
35,148.55754536841428,Yes,No,Quick Bites,North Indian,Brookefield
313,730.6646471478011,Yes,No,Cafe,"Cafe, Italian, Continental",Bannerghatta Road
848,1200.0,No,Yes,"Pub, Casual Dining","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",Marathahalli
634,850.0,No,Yes,"Bar, Pub","Continental, Finger Food, Asian, Chinese",HSR
782,1500.0,No,Yes,Casual Dining,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala"
43,800.0,No,No,Casual Dining,"Cafe, Continental, Desserts",Brookefield
40,118.33394398514906,No,No,Quick Bites,"Beverages, Sandwich",Banashankari
95,1700.0,No,Yes,Lounge,Finger Food,Whitefield
40,300.0,No,No,Beverage Shop,Beverages,Brookefield
5,400.0,No,No,Dessert Parlor,Desserts,MG Road
333,3585.7806645305045,No,Yes,Fine Dining,"North Indian, European, Thai",Brigade Road
83,524.6491355229044,Yes,No,Casual Dining,"North Indian, Chinese",Brookefield
41,600.0,Yes,No,Delivery,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala"
668,900.0,Yes,Yes,Casual Dining,"Chinese, Thai, Asian","Byresandra,Tavarekere,Madiwala"
2229,1106.605530782216,No,Yes,Casual Dining,"Mediterranean, European, Salad",Brigade Road
35,400.0,No,No,"Bakery, Quick Bites","Bakery, Fast Food",Rajajinagar
10,150.0,Yes,No,Dessert Parlor,Desserts,Bannerghatta Road
106,437.71324866735114,No,No,Casual Dining,Tibetan,"Byresandra,Tavarekere,Madiwala"
35,300.0,Yes,No,Quick Bites,Fast Food,Bannerghatta Road
40,300.0,No,No,Quick Bites,"North Indian, South Indian, Chinese, Fast Food",Brookefield
84,500.0,Yes,No,Casual Dining,North Indian,Brookefield
15,134.7320479446864,Yes,No,Quick Bites,North Indian,Frazer Town
31,300.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese",Basavanagudi
671,1614.876495412832,No,No,Casual Dining,"Finger Food, Continental",Brookefield
67,300.0,Yes,No,Cafe,"Cafe, Tea, Beverages",Brookefield
40,300.0,No,No,Quick Bites,"North Indian, Chinese, Continental, Seafood",Indiranagar
40,200.0,No,No,Quick Bites,North Indian,Brookefield
28,250.0,Yes,No,"Takeaway, Delivery",Bakery,Electronic City
2885,1365.7774475221095,No,Yes,"Bar, Casual Dining","Continental, North Indian",Whitefield
727,800.0,Yes,Yes,Cafe,"Cafe, Continental, North Indian",Bannerghatta Road
32,400.0,No,No,Quick Bites,"Mughlai, North Indian",Church Street
8217,1616.8871820654924,No,Yes,"Pub, Microbrewery","North Indian, European, Mediterranean",Brigade Road
82,300.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Banashankari
27,300.0,Yes,No,Quick Bites,Chinese,Residency Road
27,170.89920427534568,No,No,Quick Bites,North Indian,Brookefield
511,550.0,Yes,No,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",Banashankari
1235,1500.0,No,Yes,"Lounge, Casual Dining","Continental, American, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
55,400.0,No,No,Quick Bites,"North Indian, Chinese",Bannerghatta Road
44,600.0,No,No,Cafe,"Cafe, Fast Food",Kalyan Nagar
6,400.0,No,No,Casual Dining,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",Brookefield
4,600.0,Yes,No,Takeaway,"Pizza, Fast Food",HSR
5,400.0,Yes,No,Delivery,"Fast Food, Burger, Pizza, Sandwich",Kalyan Nagar
40,250.0,Yes,No,Dhaba,"North Indian, Fast Food, Beverages",Basavanagudi
47,760.3126056918077,Yes,No,Casual Dining,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur
40,300.0,Yes,No,Quick Bites,South Indian,Electronic City
3709,738.7134354593256,No,No,Cafe,North Indian,"Byresandra,Tavarekere,Madiwala"
30,400.0,Yes,No,Cafe,Cafe,Malleshwaram
65,400.0,Yes,No,Quick Bites,"North Indian, Chinese, Mughlai, Hyderabadi",Koramangala 4th Block
54,500.0,Yes,No,Cafe,"Cafe, Fast Food, Chinese, Continental",Bannerghatta Road
24,300.0,Yes,No,Quick Bites,"Desserts, Fast Food, Continental",Banashankari
395,800.0,Yes,No,Casual Dining,"North Indian, Chinese, Biryani, Andhra",Kalyan Nagar
182,300.0,Yes,No,Quick Bites,Fast Food,"Byresandra,Tavarekere,Madiwala"
85,500.0,Yes,No,Casual Dining,"North Indian, Biryani, Chinese, Mughlai",Marathahalli
4,100.0,Yes,No,Quick Bites,South Indian,Kalyan Nagar
16,200.0,Yes,No,Quick Bites,"Fast Food, Burger, North Indian, South Indian",Frazer Town
40,263.7619590518504,Yes,No,Quick Bites,"North Indian, Chinese",Brookefield
179,300.0,Yes,No,"Bakery, Dessert Parlor","Bakery, Desserts",Sarjapur Road
70,256.3190735631392,Yes,No,Dessert Parlor,"Desserts, Ice Cream",Brookefield
1342,1368.6688544395515,No,Yes,"Casual Dining, Bar","North Indian, South Indian, Andhra, Chinese","Byresandra,Tavarekere,Madiwala"
39,805.2023755029447,No,No,Cafe,"North Indian, Chinese, Continental",Brookefield
53,1800.0,No,No,"Casual Dining, Bar","Asian, North Indian, Continental",Brigade Road
240,300.0,No,No,Dessert Parlor,"Desserts, Bakery",Kalyan Nagar
6,400.0,Yes,No,Casual Dining,"North Indian, Chinese",Bannerghatta Road
1113,1600.0,Yes,Yes,"Pub, Microbrewery","British, Continental, BBQ",Whitefield
16,442.2753897997537,No,No,Quick Bites,"North Indian, South Indian, Chinese, Street Food",Bannerghatta Road
4,500.0,No,No,Cafe,"Cafe, Fast Food, Beverages",Banashankari
1042,1650.0,No,Yes,"Bar, Casual Dining","Finger Food, Continental, North Indian, Italian, Japanese",Malleshwaram
102,400.0,Yes,No,Casual Dining,"South Indian, North Indian, Chinese, Beverages",Banashankari
17,250.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese",Frazer Town
88,517.5996821639295,No,No,"Takeaway, Delivery","Mexican, Fast Food",Bannerghatta Road
254,656.5850560313247,Yes,No,Casual Dining,"Chinese, Thai",Brookefield
40,300.0,Yes,No,Quick Bites,"Chinese, North Indian",Bannerghatta Road
80,300.0,No,No,Quick Bites,"Fast Food, Chinese",Old Airport Road
9,400.0,Yes,No,Quick Bites,"Kebab, Mughlai, Biryani",Brookefield
49,300.0,Yes,No,Quick Bites,Biryani,"Byresandra,Tavarekere,Madiwala"
53,400.0,Yes,No,Quick Bites,"Arabian, Rolls, North Indian, BBQ",Basavanagudi
23,150.0,Yes,No,Quick Bites,Rolls,Bannerghatta Road
200,801.9335392412703,Yes,No,Casual Dining,"Chinese, Momos",Kalyan Nagar
97,300.0,Yes,No,Quick Bites,"North Indian, Chinese",Sarjapur Road
40,240.39786640545094,Yes,No,Quick Bites,Fast Food,Kalyan Nagar
2483,775.1538102060604,No,No,Cafe,"Cafe, Burger, Fast Food, Desserts","Byresandra,Tavarekere,Madiwala"
570,690.9144099576574,No,No,"Cafe, Dessert Parlor","Cafe, Desserts",Indiranagar
61,1066.8189203380518,Yes,Yes,Casual Dining,"Italian, North Indian, Healthy Food, Desserts","Byresandra,Tavarekere,Madiwala"
36,500.0,Yes,No,"Takeaway, Delivery","Italian, North Indian, Biryani",Indiranagar
1654,1300.0,No,No,"Cafe, Casual Dining","Cafe, Continental, Italian, German, French, Spanish",Indiranagar
16,400.0,No,No,Quick Bites,"Kerala, South Indian",HSR
40,800.0,No,No,Casual Dining,"North Indian, South Indian, Beverages",Marathahalli
13,500.0,Yes,No,"Takeaway, Delivery",North Indian,Kalyan Nagar
42,154.8805019054496,No,No,Beverage Shop,"Beverages, Desserts",HSR
13,400.0,No,No,Dessert Parlor,Desserts,Koramangala 4th Block
40,150.0,Yes,No,Quick Bites,South Indian,Bellandur
244,250.0,Yes,No,Quick Bites,North Indian,Malleshwaram
759,1200.0,No,Yes,Bar,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
126,355.7040513275035,No,No,Mess,"Desserts, Bakery",Kalyan Nagar
442,1200.0,Yes,Yes,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza",Banashankari
114,400.0,Yes,No,Quick Bites,"Rolls, North Indian, Chinese, Biryani",Sarjapur Road
25,200.0,Yes,No,Quick Bites,North Indian,"Byresandra,Tavarekere,Madiwala"
313,549.8189286535877,Yes,No,Casual Dining,"North Indian, Chinese",Banashankari
20,200.0,Yes,No,"Takeaway, Delivery",North Indian,Bellandur
40,1583.8997327718012,No,Yes,"Microbrewery, Casual Dining","Finger Food, North Indian, Continental",Bannerghatta Road
80,300.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese",Bannerghatta Road
52,409.0451526987862,Yes,No,Quick Bites,Chinese,Brigade Road
61,150.0,No,No,Quick Bites,Fast Food,Malleshwaram
27,150.0,No,No,Quick Bites,"Bengali, Oriya, Chinese, North Indian",Brookefield
40,300.0,Yes,No,Dessert Parlor,Desserts,"Byresandra,Tavarekere,Madiwala"
123,300.0,Yes,No,Mess,"Kerala, Biryani, South Indian",Bellandur
7,300.0,Yes,No,"Takeaway, Delivery","Rolls, Juices",Bannerghatta Road
222,408.6261938473181,Yes,No,Quick Bites,"Chinese, North Indian, Rolls",Indiranagar
22,200.0,Yes,No,Quick Bites,South Indian,Banashankari
9272,1800.0,No,Yes,"Pub, Microbrewery","American, Continental, North Indian, Mediterranean",Old Airport Road
4,300.0,Yes,No,Delivery,"Desserts, Beverages",HSR
22,700.0,Yes,No,Casual Dining,"Seafood, Mangalorean, Chinese",Indiranagar
15,200.0,No,No,Bakery,"Bakery, Desserts",Old Airport Road
62,450.0,No,No,Quick Bites,"North Indian, Chinese",Whitefield
103,200.0,No,No,Quick Bites,South Indian,Sarjapur Road
93,300.0,Yes,No,Quick Bites,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
34,400.0,No,No,Quick Bites,"Bakery, Fast Food","Byresandra,Tavarekere,Madiwala"
1875,1200.0,Yes,Yes,Casual Dining,"North Indian, Afghani, Mughlai",Banashankari
40,500.0,Yes,No,Delivery,"Italian, Pizza","Byresandra,Tavarekere,Madiwala"
40,600.0,No,No,"Bakery, Quick Bites","Bakery, Fast Food, Beverages",Electronic City
1766,606.1264976672759,Yes,Yes,Cafe,"Cafe, Continental","Byresandra,Tavarekere,Madiwala"
6,250.0,No,No,"Takeaway, Delivery","Desserts, Bakery",Whitefield
40,205.28258939086024,No,No,Quick Bites,North Indian,New BEL Road
42,400.0,No,No,Quick Bites,North Indian,Electronic City
132,744.7302756252601,Yes,No,Casual Dining,"Kerala, Chinese, Seafood, North Indian","Byresandra,Tavarekere,Madiwala"
791,776.5935883252508,Yes,Yes,Casual Dining,North Indian,"Byresandra,Tavarekere,Madiwala"
17,350.0,No,No,"Takeaway, Delivery",Bakery,Bannerghatta Road
49,300.0,No,No,Quick Bites,"South Indian, North Indian",Brookefield
84,571.1596040180872,Yes,No,Casual Dining,"Andhra, North Indian, Chinese",Bellandur
40,371.9089306624172,No,No,Quick Bites,"North Indian, Chinese",Bannerghatta Road
35,500.0,No,No,Delivery,"Healthy Food, Mexican, Asian, Continental",Indiranagar
116,700.0,Yes,No,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",Lavelle Road
30,800.0,Yes,No,Casual Dining,"North Indian, South Indian, Chinese",Bannerghatta Road
251,400.0,Yes,No,Quick Bites,"South Indian, Coffee",Basavanagudi
40,500.0,Yes,No,Quick Bites,"North Indian, Fast Food",Electronic City
5,300.0,No,No,Food Court,"North Indian, South Indian, Pizza",Bannerghatta Road
40,191.51357857115383,No,No,Quick Bites,Fast Food,Kalyan Nagar
285,807.8507394457289,Yes,No,Casual Dining,"Chinese, North Indian, Kerala, Mangalorean, Seafood",Indiranagar
134,200.0,No,No,Quick Bites,Fast Food,Sarjapur Road
74,332.82048017503286,Yes,No,Quick Bites,South Indian,Sarjapur Road
822,2902.688081647564,No,Yes,Fine Dining,"Chinese, Momos",Brigade Road
1469,1231.4706964340257,Yes,Yes,"Casual Dining, Bar","Asian, American, Mexican",Indiranagar
143,129.84347343970578,No,No,Quick Bites,South Indian,Banashankari
40,163.8926388044856,No,No,Quick Bites,"South Indian, North Indian",Brigade Road
380,343.5925971166482,No,No,Quick Bites,"North Indian, Beverages, Fast Food",Brigade Road
83,291.1211186834139,Yes,No,Quick Bites,Biryani,"Byresandra,Tavarekere,Madiwala"
7,200.0,No,No,Quick Bites,South Indian,Lavelle Road
91,3000.0,No,Yes,Fine Dining,"Japanese, Chinese, Thai",Brigade Road
25,400.0,No,No,Cafe,Cafe,Bellandur
9286,1400.0,No,Yes,"Pub, Microbrewery","American, Continental, North Indian, Mediterranean",Brigade Road
103,3000.0,No,Yes,Fine Dining,"North Indian, Mughlai",Brigade Road
180,753.417660015498,No,No,Casual Dining,"Continental, Cafe, Italian, North Indian",Malleshwaram
1180,1531.4535839745033,Yes,Yes,Casual Dining,North Indian,Indiranagar
40,187.1423824445452,No,No,Quick Bites,Beverages,"Byresandra,Tavarekere,Madiwala"
998,748.2601235661521,Yes,No,Cafe,"Cafe, Continental, Burger, Salad, Healthy Food, Italian","Byresandra,Tavarekere,Madiwala"
15,450.0,Yes,No,Quick Bites,"South Indian, Biryani",Brookefield
40,200.0,No,No,Quick Bites,"South Indian, Chinese, North Indian",Bannerghatta Road
165,502.3352096328186,Yes,No,Cafe,"Cafe, Italian, Continental",Banashankari
6,350.0,No,No,Quick Bites,"Bengali, North Indian",Brookefield
39,500.0,No,No,Delivery,"North Indian, Chinese",Brookefield
40,400.0,No,No,"Takeaway, Delivery",Pizza,Electronic City
64,550.0,No,No,Quick Bites,Continental,Koramangala 4th Block
203,350.0,No,No,"Food Court, Quick Bites","Bengali, Bihari",Koramangala 4th Block
8,400.0,Yes,No,Casual Dining,Seafood,New BEL Road
41,264.6921923583771,Yes,No,Quick Bites,"North Indian, South Indian",Brigade Road
40,300.0,No,No,Quick Bites,"South Indian, Mangalorean","Byresandra,Tavarekere,Madiwala"
372,500.0,Yes,No,Casual Dining,"North Indian, Chinese, Biryani",Brookefield
40,300.0,Yes,No,Delivery,Biryani,Marathahalli
40,300.0,No,No,Quick Bites,South Indian,Kalyan Nagar
35,200.0,No,No,"Sweet Shop, Quick Bites","Mithai, Street Food",Brookefield
40,224.099232554574,No,No,"Takeaway, Delivery",Fast Food,"Byresandra,Tavarekere,Madiwala"
187,600.0,Yes,No,Quick Bites,"Biryani, North Indian, Kebab","Byresandra,Tavarekere,Madiwala"
206,677.4938995754808,No,No,Casual Dining,"North Eastern, Asian, Naga, Steak, Momos",Brigade Road
41,2000.0,No,No,Casual Dining,"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",Indiranagar
26,300.0,Yes,No,Quick Bites,"Momos, Fast Food",Marathahalli
455,400.0,Yes,No,"Takeaway, Delivery","North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
39,1200.0,No,No,Bar,Finger Food,"Byresandra,Tavarekere,Madiwala"
4497,1448.4918276883652,Yes,No,Pub,"American, Tex-Mex, Burger, BBQ, Mexican",Indiranagar
40,300.0,Yes,No,Quick Bites,"North Indian, Chinese",Brookefield
23,400.0,Yes,No,Quick Bites,"Andhra, Kerala, South Indian",Malleshwaram
170,250.0,Yes,No,Quick Bites,"North Indian, Chinese, Momos",Bannerghatta Road
40,300.0,Yes,No,Quick Bites,Chinese,Bannerghatta Road
48,203.22577432362522,Yes,No,Quick Bites,"Fast Food, Chinese, Lebanese",Malleshwaram
23,400.0,Yes,No,"Takeaway, Delivery","Continental, Healthy Food, Beverages",Indiranagar
434,2756.927232103384,No,Yes,Fine Dining,"North Indian, Mughlai",Brigade Road
4,100.0,No,No,Quick Bites,North Indian,Koramangala 5th Block
2921,1100.0,No,No,Casual Dining,"Vietnamese, Salad",Indiranagar
16,300.0,Yes,No,Quick Bites,"North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
6,300.0,No,No,Dessert Parlor,"Ice Cream, Desserts",Bellandur
40,400.0,No,No,"Cafe, Quick Bites","Cafe, Italian",Marathahalli
121,400.0,No,No,"Casual Dining, Bar",North Eastern,Lavelle Road
46,1000.0,No,No,Casual Dining,South Indian,Rajajinagar
56,2000.0,No,No,Cafe,Cafe,Lavelle Road
21,250.0,No,No,Quick Bites,"North Indian, Chinese, South Indian",Electronic City
40,350.0,Yes,No,"Takeaway, Delivery","Biryani, Kebab",Kalyan Nagar
637,218.1778867217362,Yes,No,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Banashankari
255,4032.7280596422424,No,Yes,Fine Dining,North Indian,Malleshwaram
624,1085.0750530258526,No,Yes,Casual Dining,North Indian,Indiranagar
40,246.5082601431275,Yes,No,Quick Bites,"North Indian, South Indian, Chinese",Kalyan Nagar
40,1300.0,Yes,No,Pub,"Finger Food, Salad, Chinese, Continental",Old Airport Road
27,450.0,No,No,Cafe,Cafe,Koramangala 4th Block
180,592.0766608463357,Yes,No,Casual Dining,"Chinese, Momos",Kalyan Nagar
2093,1510.5393218107806,Yes,Yes,Casual Dining,"Biryani, Chinese, North Indian, Seafood",Indiranagar
40,244.70471512666253,Yes,No,Quick Bites,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
27,400.0,No,No,"Bakery, Quick Bites",Bakery,"Byresandra,Tavarekere,Madiwala"
57,500.0,Yes,No,Quick Bites,"North Indian, Andhra",Brookefield
257,500.0,Yes,No,Delivery,"North Indian, Chinese",Brookefield
105,800.0,Yes,No,Casual Dining,"Iranian, Mughlai, Chinese",Kalyan Nagar
528,150.0,Yes,No,Quick Bites,"North Indian, Street Food",Banashankari
144,500.0,Yes,No,Delivery,North Indian,Koramangala 5th Block
40,300.0,Yes,No,Delivery,"North Indian, Chinese",Bannerghatta Road
48,400.0,Yes,No,Quick Bites,"North Indian, Biryani, South Indian",Sarjapur Road
18,500.0,Yes,No,Casual Dining,"Kerala, Chinese, South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
3209,590.2379698521754,Yes,No,Casual Dining,"Cafe, American, Burger, Sandwich, Beverages","Byresandra,Tavarekere,Madiwala"
40,278.98964219164776,No,No,Quick Bites,"South Indian, North Indian, Biryani",Kalyan Nagar
40,300.0,No,No,Dessert Parlor,Desserts,Malleshwaram
775,500.0,Yes,No,Delivery,"Desserts, Belgian, Beverages",Bannerghatta Road
4,500.0,No,No,Delivery,Fast Food,Bellandur
40,200.0,Yes,No,Quick Bites,"Fast Food, North Indian",HSR
413,5000.0,No,Yes,Fine Dining,"North Indian, Mughlai",Malleshwaram
7,600.0,No,No,Cafe,Cafe,Church Street
2891,1342.971306126861,No,Yes,"Bar, Casual Dining","Continental, North Indian",Indiranagar
293,550.0,Yes,No,Casual Dining,"North Indian, Chinese, Mughlai, Rolls",Old Airport Road
1858,1200.0,No,No,Bar,"Finger Food, Continental",Indiranagar
472,700.0,Yes,Yes,Casual Dining,"North Indian, Pizza, Fast Food",Brookefield
18,200.0,Yes,No,Mess,Andhra,Electronic City
112,398.4889315785525,Yes,No,Quick Bites,Fast Food,"Byresandra,Tavarekere,Madiwala"
46,1800.0,No,No,Lounge,Continental,Indiranagar
40,200.0,No,No,Quick Bites,Fast Food,Kalyan Nagar
36,358.166613589772,Yes,No,"Takeaway, Delivery",North Indian,Electronic City
92,400.0,Yes,No,Casual Dining,"South Indian, North Indian, Chinese",Brookefield
40,300.0,No,No,Quick Bites,"Kerala, South Indian",Electronic City
6,700.0,No,No,Casual Dining,"Arabian, Chinese, Hyderabadi, Kerala","Byresandra,Tavarekere,Madiwala"
40,400.0,No,No,Quick Bites,South Indian,Koramangala 6th Block
4,300.0,No,No,Dessert Parlor,Desserts,Sarjapur Road
266,1000.0,Yes,Yes,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ",Jayanagar
88,800.0,No,Yes,Casual Dining,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab",Marathahalli
